d_min;d_max;classe;gioco_min;gioco_max
0;10;C2;2;7
0;10;CN;3;9
0;10;C3;8;16
0;10;C4;16;25
10;18;C2;3;9
10;18;CN;4;11
10;18;C3;10;19
10;18;C4;19;30
18;24;C2;4;10
18;24;CN;5;12
18;24;C3;11;21
18;24;C4;21;33
